income,age,p
7220.24,21.16,0.0
7220.24,24.32,0.0
7220.24,27.48,0.0
7220.24,30.64,0.0
7220.24,33.8,0.0
7220.24,36.96,0.0
7220.24,40.12,0.0
7220.24,43.28,0.0
7220.24,46.44,0.0
7220.24,49.6,0.0
7220.24,52.76,0.00045
7220.24,55.92,0.0
7220.24,59.08,0.0
7220.24,62.24,0.0
7220.24,65.4,0.0
7220.24,68.56,0.0
7220.24,71.72,0.0
7220.24,74.88,0.0
7220.24,78.04,0.0
7220.24,81.2,0.0
7220.24,84.36,0.0
7220.24,87.52,0.0
7220.24,90.68,0.0
7220.24,93.84,0.0
7220.24,97.0,0.0
7220.24,100.16,0.0
7220.24,103.32,0.0
7600.2,11.68,0.0
7600.2,14.84,0.0
7600.2,18.0,0.0
7600.2,21.16,0.0
7600.2,24.32,0.0
7600.2,27.48,0.0
7600.2,30.64,0.0
7600.2,33.8,0.0
7600.2,36.96,0.0
7600.2,40.12,0.0
7600.2,43.28,0.0
7600.2,46.44,0.0
7600.2,49.6,0.0
7600.2,52.76,0.00045
7600.2,55.92,0.0
7600.2,59.08,0.0
7600.2,62.24,0.00045
7600.2,65.4,0.0
7600.2,68.56,0.00045
7600.2,71.72,0.0
7600.2,74.88,0.0
7600.2,78.04,0.0
7600.2,81.2,0.0
7600.2,84.36,0.0
7600.2,87.52,0.0
7600.2,90.68,0.0
7600.2,93.84,0.0
7600.2,97.0,0.0
7600.2,100.16,0.0
7600.2,103.32,0.0
7980.16,11.68,0.0
7980.16,14.84,0.0
7980.16,18.0,0.0
7980.16,21.16,0.0
7980.16,24.32,0.0
7980.16,27.48,0.0
7980.16,30.64,0.0
7980.16,33.8,0.0
7980.16,36.96,0.0
7980.16,40.12,0.0
7980.16,43.28,0.0
7980.16,46.44,0.00045
7980.16,49.6,0.0
7980.16,52.76,0.0
7980.16,55.92,0.0
7980.16,59.08,0.0
7980.16,62.24,0.0
7980.16,65.4,0.00045
7980.16,68.56,0.0
7980.16,71.72,0.00045
7980.16,74.88,0.00045
7980.16,78.04,0.0
7980.16,81.2,0.0
7980.16,84.36,0.0
7980.16,87.52,0.0
7980.16,90.68,0.0
7980.16,93.84,0.0
7980.16,97.0,0.0
7980.16,100.16,0.0
7980.16,103.32,0.0
8360.12,11.68,0.0
8360.12,14.84,0.0
8360.12,18.0,0.0
8360.12,21.16,0.0
8360.12,24.32,0.0
8360.12,27.48,0.0
8360.12,30.64,0.0
8360.12,33.8,0.0
8360.12,36.96,0.0
8360.12,40.12,0.0
8360.12,43.28,0.0
8360.12,46.44,0.0
8360.12,49.6,0.0
8360.12,52.76,0.0
8360.12,55.92,0.0
8360.12,59.08,0.0
8360.12,62.24,0.0
8360.12,65.4,0.0
8360.12,68.56,0.0
8360.12,71.72,0.0
8360.12,74.88,0.0
8360.12,78.04,0.0
8360.12,81.2,0.0
8360.12,84.36,0.0
8360.12,87.52,0.0
8360.12,90.68,0.0
8360.12,93.84,0.0
8360.12,97.0,0.0
8360.12,100.16,0.0
8360.12,103.32,0.0
8740.08,11.68,0.0
8740.08,14.84,0.0
8740.08,18.0,0.0
8740.08,21.16,0.0
8740.08,24.32,0.0
8740.08,27.48,0.0
8740.08,30.64,0.00045
8740.08,33.8,0.00045
8740.08,36.96,0.0
8740.08,40.12,0.0
8740.08,43.28,0.0
8740.08,46.44,0.0009
8740.08,49.6,0.0
8740.08,52.76,0.0
8740.08,55.92,0.0
8740.08,59.08,0.00045
8740.08,62.24,0.00045
8740.08,65.4,0.00045
8740.08,68.56,0.00045
8740.08,71.72,0.0
8740.08,74.88,0.0
8740.08,78.04,0.0
8740.08,81.2,0.0
8740.08,84.36,0.0
8740.08,87.52,0.0
8740.08,90.68,0.0
8740.08,93.84,0.0
8740.08,97.0,0.0
8740.08,100.16,0.0
8740.08,103.32,0.0
9120.04,11.68,0.0
9120.04,14.84,0.0
9120.04,18.0,0.0
9120.04,21.16,0.0
9120.04,24.32,0.0
9120.04,27.48,0.0
9120.04,30.64,0.0
9120.04,33.8,0.0
9120.04,36.96,0.0
9120.04,40.12,0.0
9120.04,43.28,0.0
9120.04,46.44,0.0
9120.04,49.6,0.0
9120.04,52.76,0.0
9120.04,55.92,0.0
9120.04,59.08,0.0
9120.04,62.24,0.0
9120.04,65.4,0.0
9120.04,68.56,0.0
9120.04,71.72,0.0
9120.04,74.88,0.0
9120.04,78.04,0.0
9120.04,81.2,0.0
9120.04,84.36,0.0
9120.04,87.52,0.0
9120.04,90.68,0.0
9120.04,93.84,0.0
9120.04,97.0,0.0
9120.04,100.16,0.0
9120.04,103.32,0.0
9500.0,11.68,0.0
9500.0,14.84,0.0
9500.0,18.0,0.0
9500.0,21.16,0.0
9500.0,24.32,0.0
9500.0,27.48,0.0
9500.0,30.64,0.0
9500.0,33.8,0.0
9500.0,36.96,0.0
9500.0,40.12,0.0
9500.0,43.28,0.0
9500.0,46.44,0.0
9500.0,49.6,0.0
9500.0,52.76,0.0
9500.0,55.92,0.0
9500.0,59.08,0.0
9500.0,62.24,0.0
9500.0,65.4,0.00045
9500.0,68.56,0.0
9500.0,71.72,0.0
9500.0,74.88,0.0
9500.0,78.04,0.0
9500.0,81.2,0.0
9500.0,84.36,0.0
9500.0,87.52,0.0
9500.0,90.68,0.0
9500.0,93.84,0.0
