linearity,z_min
0.2806,-0.038
0.2158,3.7260000000000004
0.4521,6.54
0.3077,3.361
0.3376,3.6310000000000002
0.3968,3.685
0.7631,2.215
0.5603,2.306
0.2786,-1.165
0.2362,10.724
0.2707,7.615
0.9103,0.348
0.3875,6.273
0.4754,-0.013000000000000001
0.3086,-0.034
0.1876,15.321
0.1923,-0.0155
0.2735,1.2726
0.62,6.75
0.285,-0.0762
0.9777,6.5376
0.2481,4.084
0.3032,4.495
0.3262,1.704
0.4122,-0.021
0.3379,25.651
0.2853,4.772
0.3617,-0.023
0.2999,-0.031
0.8834,6.6344
0.5345,6.102
0.2048,-0.053
0.259,-0.040999999999999995
0.4439,11.713
0.284,0.001
0.1394,8.607000000000001
0.2557,0.053
0.2771,8.577
0.3684,-0.0246
0.1152,0.1838
0.4785,8.7418
0.3287,2.8623
0.6352,-0.139
0.3156,0.644
0.2347,-0.158
0.355,4.888
0.2173,6.071000000000001
0.3889,5.167000000000001
0.2395,0.9690000000000001
0.1783,0.052000000000000005
0.2196,3.79
0.2551,3.283
0.5374,1.825
0.2264,5.3870000000000005
0.4394,10.61
0.3507,8.1167
0.5385,8.616
0.3658,11.037
0.3902,10.747
0.8105,2.3221
0.4381,5.315
0.2109,12.837
0.2981,-0.039
0.2677,3.3985
0.3544,20.951999999999998
0.2392,15.3896
0.2974,-0.1085
0.2951,0.026000000000000002
0.3676,6.785
0.2561,1.6218
0.2897,1.867
0.2417,2.1848
0.3432,2.5787
0.4365,5.6824
0.6817,3.0244
0.5421,9.9813
0.24600000000000002,-0.063
0.2192,2.7815
0.2793,6.1565
0.1535,2.331
0.5939,0.0327
0.1922,13.3115
0.2186,14.962
0.2001,-0.823
0.3568,4.538
0.284,5.8870000000000005
0.377,11.317
0.1668,-0.10099999999999999
0.3471,8.577
0.3212,5.4662
0.3526,11.052
0.2818,0.5329999999999999
0.1858,-0.11699999999999999
0.5046,1.1035
0.2405,-0.027000000000000003
0.2782,2.153
0.3618,1.347
0.2403,-0.055
0.3945,4.092
0.1622,-0.015
0.3351,-0.8690000000000001
0.3815,0.027000000000000003
0.4475,3.8289999999999997
0.2793,5.1285
0.4912,-0.039
0.2611,2.0859
0.2695,9.34
0.2939,11.2305
0.2486,11.267000000000001
0.35600000000000004,10.045
0.3443,4.648
0.2436,8.1772
0.3082,3.359
0.2358,-0.081
0.3152,8.046
0.5581,3.5602
0.4775,12.062000000000001
0.2896,-0.135
0.3049,7.0243
0.5062,16.246
0.4223,3.1836
0.253,17.54
0.3011,6.185
0.6221,0.262
0.3927,9.961
0.2249,7.8839999999999995
0.2455,4.4745
0.35600000000000004,6.406000000000001
0.2714,6.529
0.2579,9.298
0.3282,4.73
0.1886,-0.0412
0.3087,-0.004
0.2801,1.7009999999999998
0.4171,-0.03
0.2559,10.6085
0.2003,2.8289999999999997
0.397,-0.11
0.4235,10.1901
0.2912,-0.035
0.2061,-0.037000000000000005
0.4968,2.477
0.3467,-0.095
0.3792,6.7365
0.3451,5.749
0.2735,13.4684
0.2577,0.616
0.1904,2.1312
0.4757,6.067
0.2274,-0.26899999999999996
0.1877,0.3205
0.2707,-0.037000000000000005
0.3303,4.3792
0.2606,3.1719999999999997
0.8337,9.5394
0.2106,2.4245
0.2291,0.1817
0.259,8.048
0.2873,9.044
0.249,11.2751
0.4027,6.9270000000000005
0.7548,0.601
0.4918,0.5165
0.3077,3.0775
0.9186,1.2825
0.2385,6.8646
0.0979,2.8585
0.3659,-0.006999999999999999
0.3867,0.8270000000000001
0.3324,-0.183
0.4503,13.844000000000001
0.5752,-0.061
0.4791,0.1271
0.2439,29.93
0.305,5.042
0.5095,0.633
0.3613,29.4255
0.4883,8.116
0.3759,4.896
0.1662,-0.233
0.3418,9.4155
0.2721,1.4580000000000002
0.4288,3.6727
0.8525,4.587
0.2492,2.0340000000000003
0.3771,3.45
0.2885,7.44
0.3579,2.64
0.2455,8.5314
0.3525,2.2640000000000002
0.5322,21.691999999999997
